,moves,explanation
911,d4 d5 e4 dxe4 f3 exf3 Nxf3 Nf6 Nc3 Bg4 Bb5+ c6 Bc4 e6 a3 Be7 h3 Bxf3 Qxf3 Qxd4 Bd3 O-O Be3 Qd8 O-O-O Qc7 Bf4 Bd6 Bg5 Nbd7 Ne4 Nxe4 Qxe4 g6 Bh6 Nc5 Qd4 Rfd8 Qg7#,
912,c4 e5 Nc3 a6 g3 Bc5 Nf3 Nc6 Bg2 d6 Ne4 Ba7 d3 Bf5 Nh4 Bxe4 Bxe4 Nf6 Bg5 h6 Bxf6 Qxf6 O-O O-O-O Qb3 Kb8 Bxc6 Bb6 Be4 g5 Nf5 h5 a4 a5 Qc3 Rdg8 h4 gxh4 Nxh4 Qxh4 c5 dxc5 Qxe5 f6 Qf5 Rg5 Qxf6 Rxg3+ fxg3 Qxg3+ Bg2 Rg8 Qf3 c4+ Kh1 Qh4+ Qh3 Qd4 dxc4 h4 Qf3 c6 Qe4 Qd6 Rad1 Qh6 Bh3 Rg3 Rf3 Rg5 Rf5 Rg6 c5 Bc7 Qe8+ Ka7 Rf8 Qxf8 Qxf8 Bf4 Qxf4 Rg8 Qf7 Rb8 Rd7 Ka6 Qb3 Ka7 Qb6+ Ka8 e3 Re8 Qxb7#,
913,d4 Nf6 e3 d5 Nf3 Bg4 Be2 e6 Nc3 c5 dxc5 Bxc5 Bb5+ Nc6 h3 Bf5 Ne5 Qc7 Bxc6+ bxc6 f4 O-O g4 Be4 Nxe4 Nxe4 g5 Qb6 Nd7 Qa5+ c3 Rfd8 b4 Bxb4 cxb4 Qxb4+ Bd2 Nxd2 Qxd2 Qxd2+ Kxd2 Rxd7 Rab1 Kf8 h4 Ke7 a4 c5 Rhc1 Rc8 a5 Rcc7 Rb8 Rd8 Rxd8 Kxd8 Rb1 Kc8 Kd3 f6 gxf6 gxf6 Ke2 Kd7 Kf3 e5 f5 c4 Rd1 Kd6 e4 d4 h5 c3 Rc1 Rc5 a6 Ra5 h6 Rxa6 Ke2 Ra2+ Kd3 Kc5 Rc2 Rxc2 Kxc2 Kc4 Kc1 a5 Kc2 a4 Kc1 a3 Kb1 Kd3 Kc1 a2 Kd1 a1=Q#,
914,c4 Nc6 Nc3 e5 g3 f5 Bg2 e4 f3 Nf6 fxe4 Nxe4 Nxe4 fxe4 Bxe4 Qe7 d3 d6 Nh3 Bxh3 e3 O-O-O Qa4 Bd7 Bxc6 Bxc6 Qxa7 b6 O-O g6 e4 Bg7 h4 Rhf8 Be3 Qe6 Bxb6 Rxf1+ Rxf1 Bb7 Be3 Rf8 Rxf8+ Bxf8 b4 Qh3 Bg5 Qxg3+ Kf1 Qxd3+ Kg1 Qxc4 Qf2 Bg7,
915,d4 f5 Bg5 Nf6 Bxf6 exf6 e3 d5 Nf3 Bd6 c4 c6 Nc3 Be6 cxd5 Bxd5 Nxd5 cxd5 Qb3 Qa5+ Nd2 Bb4 Qd1 Nc6 a3 Bd6 Bd3 g6 O-O O-O b4 Qc7 b5 Bxh2+ Kh1 Ne7 Rc1 Qd6 Nf3 Bg3 fxg3 Qxg3 Qe1 Qd6 a4 Rac8 Qa5 Qa3 Rcd1 Rc3 Ra1 Rxd3 Rxa3 Rxa3 Qxa7 Rxe3 Qxb7 Rc8 b6 Rc2 Kg1 f4 a5 Nf5 a6 Ng3 Qxd5+ Kg7 a7 Nxf1 a8=Q Rc1 Qag8+ Kh6 Qf8#,
916,e4 c6 d4 d5 exd5 cxd5 Bd3 Nc6 c3 Qc7 Qf3 e6 Bf4 Bd6 Ne2 Nf6 Bg5 Ng8 Nd2 Nge7 O-O-O Bd7 Kb1 a6 Bc2 b5 Bf4 Bxf4 Qxf4 Qxf4 Nxf4 b4 Ba4 bxc3 bxc3 Rb8+ Nb3 O-O Bxc6 Bxc6 Kc2 Ba4 Rb1 Rfc8 Kd2 Bxb3 axb3 Nf5 Nd3 Nd6 f3 Nb7 Ra1 a5 b4 axb4 cxb4 Nd6 Rhb1 Nb5 Ke3 Rc4 Nc5 Nxd4 Nd7 Rd8 Ne5 Rxb4 Rxb4 Nc2+ Kd2 Nxb4 Ra7 f6 Ng4 Nc6 Rc7 Ne5 Ne3 Nc4+ Nxc4 dxc4+ Kc3 Rd3+ Kc2 Ra3 Rxc4 Ra2+ Kd3 Rxg2 h4 Ra2 Rc6 Kf7 Rc4 e5 Ke4 Kg6 Ke3 Ra3+ Kf2 h5 Kg3 Ra2 Re4 Kf5 Rb4 Rd2 Ra4 Rd4 Ra7 g6 Ra6 g5 hxg5 fxg5 Ra8 h4+ Kf2 Rd6 Rh8 Rf6 Ke3 Kg6 Ke4 Rf4+ Ke3 Kg7 Rh5 Kg6 Rh8 Ra4 Rg8+ Kf6 Rh8 Ra1 Kf2 Ra2+ Ke3 Rg2 Ke4 Rg3 Rh6+ Kg7 Rh5 Kg6 Rh8 h3 Kxe5 Rxf3 Ke4 g4 Rg8+ Kh5 Rh8+ Kg5 Rg8+ Kh4 Rh8+ Kg3,
917,e4 e5 d3 c5 Nc3 Bd6 Nf3 Nc6 Be3 g6 g3 f6 Bh3 f5 exf5 gxf5 O-O Qe7 Bxf5 Nf6 Nb5 Kd8 Ng5 h6 Ne4 Rg8 Bxh6 Rg4 Bxg4 Nd5 Qf3 Qf6,
918,e4 c5 c3 e6 Nf3 g6 c4 Nf6 d3 Bg7 Nc3 O-O b3 Nc6 Ba3 b6 Qd2 Bb7 Be2 a6 h4 b5 O-O b4 Nd5 bxa3 Rab1 Nxd5 exd5 Ne5 Nxe5 Bxe5 f4 Bf6 Rf3 exd5 cxd5 Bxd5 Rg3 Qc7 Bf3 Bxf3 gxf3 d5 Rg5 Bxg5 hxg5 Rae8 f5 Qg3+ Kf1 Qxf3+ Qf2 Qxd3+ Kg2 Qxb1 fxg6 fxg6 Qxc5 Qxa2+ Kg3 Qxb3+ Kg4 a2 Qd4 Rf7 Qf4 Rxf4+ Kxf4 a1=Q Kg4 d4 Kf4 d3 Kf3 Qb5 Kf4 Qxg5+ Kf3 d2 Kf2 Qa3 Kf1 d1=R+ Kf2 Qd2#,
919,e4 c5 Nc3 d6 Bb5+ Nc6 Nf3 a6 Bd3 g6 Bc4 Nf6 d3 Bg7 Bd5 O-O d4 Bg4 b3 cxd4 Nxd4 Bxd1 Nxc6 bxc6 Bxc6 Rc8 Nxd1 Rxc6 Be3 Rxc2 O-O Nxe4 f3 Bxa1 fxe4 Rxa2 Bd4 Qb8 Bxa1 Rxa1 Ne3 Rxf1+ Kxf1 Qxb3 g3 Qxe3 Kg2 Qxe4+ Kf2 Rb8,
920,e4 d5 e5 f6 exf6 gxf6 Qh5+ Kd7 Qxd5+ Ke8 Bb5+ Bd7 Bxd7+ Qxd7 Qxb7 Qc6 Qc8+ Kf7 Ne2 Qd7 Qb7 Qc6 Qb3+ Qe6 Qf3 Nc6 d3 h6 Qh5+ Kg7 Nc3 Nd4 Ne4 Nxc2+ Kd2 Nxa1 Nf4 Qxa2 Qg6#,
921,e4 e5 Nf3 f6 Bc4 Ne7 Nc3 g6 d3 Bh6 Bxh6 Ng8 Be3 Ne7 g4 b6 Qe2 Ba6 Bxa6 Nxa6 a3 Nc5 b4 Ne6 h4 Nc6 g5 fxg5 hxg5 Rf8 Rxh7,
922,e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Bd2 e6 Bc4 Bb4 a3 Bd6 Nd5 c6 Bxa5 cxd5 Bb5+ Bd7 Qd3 g5 Bxd7+ Kxd7 Qb5+ Nc6 Qxb7+ Bc7 Qxc7+,
923,e4 d5 Qe2 c6 e5 f6 d4 g6 f4 Qb6 Nf3 h5 h4 Bh6 g3 a6 b3 Bg4 exf6 Nxf6 Ba3 Qd8 Bh3 Bxh3 Rxh3 Qc8 Qxe7#,
924,e4 d5 e5 Nc6 d4 Bf5 Nf3 g6 Bb5 Bg7 Bxc6+ bxc6 Nc3 e6 Bg5 f6 exf6 Bxf6 Bxf6 Qxf6 Ne5 Ne7 Ne2 Rb8 Rb1 Rb4 c3 Rb6 Qa4 a5 Qxa5 O-O Rc1 Rxb2 Qxc7 Rb5 Nxc6 Nxc6 Qxc6 Rbb8 O-O Qg5 g3 h6 h4 Qd2 Nf4 Qxa2 Nxe6 Rfc8 Qd7 Qc4 f3 Rc6 Qa7 Qb5 Qg7#,
925,e4 d5 Qf3 c6 exd5 cxd5 Nc3 Nf6 Nb5 Nc6 c4 a6 Nc3 dxc4 Bxc4 Ne5 Qe2 e6 Qxe5 Bd6 Qg5 h6 Qxg7 Bb4 Qxh8+ Ke7 Qxh6 Ng8 Qg5+ Nf6 a3 Bd6 b4 Bd7 b5 Rc8 d3 Qg8 Nf3 e5 bxa6 bxa6 Bxa6 Rxc3 Bb2 Qxg5 Nxg5 Rxd3 Bxd3 Bc6 f3 Nd5 O-O f6 Ne4 Bc7 a4 Ne3 Rfc1 Kd7 Nxf6+ Kd6 a5 Bd8 a6 Bxf6 Re1 Nc2,
926,d4 d5 e3 Nf6 f4 Bg4 Bd3 Bxd1 Kxd1 Nc6 Nf3 h6 Bd2 a5 Nc3 g5 fxg5 hxg5 Nxg5 Bh6 Nf3 Ng4 Be1 Qd7 Ne5 Qf5 Bxf5 Ngxe5 dxe5 Nxe5 Nxd5 c6 Nc7+ Kd8 Nxa8 Rg8 Rg1 Nc4 b3 Nxe3+ Ke2 Nxf5 Bxa5+ Kd7 Bd2 Rxa8 Bxh6 Nxh6 Raf1 Rxa2 Ra1 Rxc2+ Kd1 Rc5 Ke2 Rf5 Rgd1+ Ke6 Rf1 Re5+ Kd1 Ng4 h3 Ne3+ Ke2 b5 Rf3 Nxg2+ Kf2 Ne3 Rxe3 Rxe3 Kxe3 f6 Rh1 f5 h4 Kf6 h5 Kg5 h6 Kg6 h7 c5 h8=Q c4 Qh6+ Kf7 bxc4 bxc4 Qf4 c3 Qxf5+ Ke8 Rh8#,
927,e4 c5 Be2 d6 Nc3 a6 d3 Nc6 Be3 e6 Qd2 Be7 e5 Nxe5 d4 Ng4 Nf3 Nxe3 Qxe3 cxd4 Qf4 dxc3 b3 Nf6 Ng5 O-O h4 e5 Qe4 Nxe4 Nxh7 Kxh7 Bd3 Bf5 g4 Bxg4 h5 Qb6 h6 Qxf2#,
928,e4 d5 exd5 Bd7 Nc3 e6 Bc4 Be7 Nf3 Nf6 d4 O-O Bg5 Ne8 dxe6 Bxe6 Bxe6 fxe6 Ne4 Bxg5 Nfxg5 Nd6 Qh5 Rf5 Qxh7+ Kf8 Nxe6+,
929,e4 e5 Qh5 d6 Bb5+ c6 Bc4 g6 Qf3 Qf6 Qxf6 Nxf6 Nf3 Bh6 d3 Bg4 Bxh6 Bxf3 gxf3 Nbd7 Nd2 O-O-O O-O-O b5 Bxf7 Kc7 Bb3 a5 a4 b4 Nc4 Ra8 f4 d5 exd5 Nxd5 Rde1 exf4 Ne5 Rhe8 d4 c5 dxc5 N5f6 Bxf4 Nh5 Bf7 Rf8 Nxg6+ Kc6 Ne5+ Nxe5 Bxe5 Rxf7 Bd6 Rxf2 Re7 h6 Re5 Nf6 b3 Ng4 Re4 Nxh2 Rd1 Rd8 Rdd4 Rf1+ Kb2 Nf3 Rd5 Kxd5 Re5+ Nxe5 Bxe5 Kxe5 c6 Rc8,
930,d4 d5 e4 dxe4 Bf4 Be6 Bb5+ Bd7 Nc3 Bxb5 Nxb5 e6 Qg4 Qe7 O-O-O Nf6 Qe2 Nc6 c3 O-O-O Bxc7 Re8 Nxa7+ Nxa7 Ba5 Qd6 f3 exf3 gxf3 Be7 c4 Rhf8 c5 Qd7 f4 Nc6 Bc3 Qd5 Nf3 Rd8 b4 Rd7 b5 Nb8 Ba5 Qh5 Ne5 Rdd8 Qxh5 Nxh5 Ng6 hxg6 c6 bxc6 bxc6 Nxc6 Bxd8 Bxd8 Rd3 Nb4 Rc3+ Kb8 Kb1 f6 Rb3 Ba5 Rg1 Nxf4 Rg4 e5 dxe5 fxe5 Rxg6 Nxg6,
931,d4 d5 f3 e6,
932,d4 e6 Nf3 c5 Be3 Qb6 Qd2 Qxb2 Nc3 Qxa1+ Qd1 Qxc3+ Qd2 Qa1+ Qd1 Qxa2 Ne5 Qd5 Nxf7 Kxf7 f4 cxd4 Bxd4 Qa5+ Qd2 Qxd2+ Kxd2 Nf6 f5 Ne4+ Kc1 Ba3+ Kb1 Re8 g4 e5 g5 Nxg5 Rg1 h6 h4 Ne4 f6 g6,
933,e4 e6 d4 Qh4 Nf3 Qxe4+ Qe2 Qc6 Bd2 Qxc2 Ng5 Nh6 Nc3 Qxb2 Qd1 f6 Nf3 Bb4 Ne4 f5 Neg5 Bxd2+ Qxd2 Qxa1+ Qd1 Qxa2 Bb5 Qa5+ Qd2 Qxb5 Nxe6 dxe6 Ne5 Qb1+ Ke2 Qxh1 Ng6 hxg6 Qg5 Qxh2 Qxg6+ Ke7 d5 Qe5+ Kf3,
934,e4 c5 d4 cxd4 Qxd4 Nc6 Qd1 e5 Qf3 Bb4+ c3 Ba5 Bc4 Nge7 Qxf7#,
935,e4 b6 Nf3 Nf6 Nc3 Nc6 g3 e5 Bg2 Bc5 O-O a5 d3 O-O Be3 d6 Bxc5 dxc5 Nb5 Ba6 c4 Ng4 a3 f5 h3 fxe4 hxg4 exf3 Bxf3 Nd4 Bxa8 Nf3+ Bxf3 Qg5 Nxc7 Rxf3 Qxf3,
936,e4 d5 exd5 Qxd5 Nc3 Qe6+ Be2 Qg6 Nf3 Qxg2 Rf1 Nf6 Bb5+ c6 Ba4 Bg4 d4 Bxf3 Rg1 Qxg1+ Kd2 Bxd1,
937,d4 d5 c3 Nc6 e4 dxe4 Be3 Nf6 Bb5 Bd7 Ne2 a6 Ba4 b5 b3 bxa4 bxa4 e5 f4 exf4 Bxf4 Bd6 Nd2 O-O O-O Ng4 Bxd6 cxd6 Nxe4 Ne3 Qd3 Nxf1 Kxf1 Ne5 Qg3 Bf5 Ng5 Ng4 Nxh7 Kxh7 Qh3+ Kg8 Ng3 Ne3+ Ke1 Bxh3 Nh5 Qh4+ Kd2 Nxg2 Nxg7 Kxg7 Rf1 Qg5+ Kc2 Ne3+ Kb2 Nxf1,
938,e4 d5 Nc3 Bg4 Be2 Be6 d4 dxe4 Nxe4 Bxa2 Rxa2 Qd5 b3 Qxe4 Nf3 Nc6 O-O Nxd4 Nxd4 Rd8 Bb2 Rd6 Rxa7 Rb6 Ra8+ Kd7 Bg4+ Kd6 Nf5+ Ke6 Ng3+ Qxg4 Qxg4+,
939,d4 e5 dxe5 f6 exf6 Bb4+ Bd2 Bxd2+ Nxd2 gxf6 Ne4 Qe7 f3 Qe6 b3 d6 Qd3 b6 O-O-O Nd7 g4 Ne7 Bh3 Rg8 g5 fxg5 Bxe6 Ne5 Qb5+ Kd8 Bxg8 Nxf3 Nxf3 Nxg8 Nfxg5 h5 Nf7+ Ke7 Qxh5 d5 Rxd5,
940,e4 e6 d4 b6 Bc4 Nc6 Bf4 d5 exd5 exd5 Bb5 Qd7 Nf3 Be7 Ne5 Qd6 Nxc6 Qe6+ Be3 Bb4+ Nxb4+ Bd7 Nc3 O-O-O Ncxd5 Qe4 Bxd7+ Rxd7 O-O c5 Nc3 Qf5 Nbd5 Nf6 Nxf6 cxd4 Nxd7 Qxd7 Bxd4 Re8 Qd3 Qg4 Qa6+ Kd7 Qxa7+ Ke6,
941,d4 d5 g3 c6 Nf3 Nf6 b4 Bg4 Ng1 h6 Qd3 e6 f3 Bf5 g4 Bxd3 exd3 Bxb4+ Bd2 Bxd2+ Nxd2 O-O O-O-O Qa5 Nh3 Qxa2 Nb1 Rc8 g5 Nfd7 Rg1 c5 gxh6 cxd4 hxg7 Qxc2#,
942,Nh3 e5 g3 Nf6 Bg2 d5 O-O h6 f4 e4 e3 Bg4 Qe1 Qd7 Nf2 Be6 Nc3 h5 d4 h4 Nh1 Bb4 gxh4 Bxc3 bxc3 Nc6 Ng3 Na5 f5 Rxh4 fxe6 fxe6 Nf5 Rg4 Ng3 O-O-O Rb1 Rh8 Qf2 Nc4 h3 Rg6 Qf4 Qc6 Rf2 Qa6 Bd2 Qxa2 Rbf1 Qxc2 Bc1 Qxc3 Nf5 Kd7 Nxg7,
943,Nf3 Nc6 g3 g6 Bg2 Nf6 O-O Bg7 c3 O-O d4 d5 Bg5 e6 Na3 a5 Nc2 b5 b3 b4 c4 dxc4 bxc4 a4 Ne5 Nxe5 dxe5 Qxd1 Raxd1 Ng4 Bxa8 Ba6 Rd8 Rxd8 Bxd8 Bxc4 Ne3 Bxe2 Re1 Bd3 Nxg4 h5 Nf6+ Kf8 Bxc7 Bxf6 exf6 Kg8 Be4,
944,Nf3 Nf6 g3 d5 Bg2 e6 O-O Be7 d3 O-O Bf4 c6 Nbd2 Qb6 b3 Nbd7 Ne5 Nxe5 Bxe5 Nd7 Bb2 Bf6 Bxf6 Nxf6 e4 Rd8 exd5 exd5 Re1 Bg4 Bf3 Bxf3 Qxf3 Qb4 Re2 Qc3 Rae1 Re8 Rxe8+ Rxe8 Re2 Qxc2 Qxf6 Qd1+ Kg2 Qxe2 Qf4 Qxd3 Nf3 Qe4 Qc7 Qe7 Qa5 b6 Qc3 c5 Qd3 d4 Qc4 h6 Qd3 Qe4 Qb5 g5 h3 h5 a4 g4 hxg4 hxg4 Kh2 gxf3 Qd7 Kg7 Qxa7 Rh8+ Kg1 Qe1#,
945,Nf3 Nf6 g3 e6 d3 b6 Bg2 Bb7 O-O Be7 Nc3 O-O e4 d6 Be3 e5 Re1 Nbd7 Qd2 Ng4 Bg5 Bxg5 Qxg5 Nh6 Re2 f5 Rae1 f4 gxf4,
946,Nf3 d5 h3 c5 d3 Nc6 Nbd2 e5 e4 d4 Nc4 Nf6 Nfxe5 Nxe5 Nxe5 Bd6 Nf3 O-O Be2 Re8 O-O Nd7 Bg5 Qc7 Kh1 Ne5 Nxe5 Bxe5 f4 Bd6 e5 Be7 Bxe7 Rxe7 Bf3 Rb8 Bg4 Bxg4 Qxg4 Rbe8 Rae1 b5 Rf2 a5 Rfe2 c4 e6 Rxe6 Rxe6 Rxe6 Rxe6 fxe6 Qxe6+ Qf7 Qc8+ Qf8 Qxf8+ Kxf8 Kg1 Ke7 Kf2 Ke6 Kf3 Kd5 g4,
947,Nf3 c5 g3 d5 d3 Nc6 Bg2 e5 Nc3 Nf6 Bg5 Be7 O-O h6 Bxf6 Bxf6 e4 d4 Nd5 O-O Qd2 Bg4 h3 Bh5 g4 Bg6 Nh2 Bg5 Qe2 Ne7 Nxe7+ Qxe7 Nf3 Bf4 b3 h5 Nh2 hxg4 Nxg4 Qg5 Qf3 f5 exf5 Bxf5 Rfe1 Bg6 Qxb7 Bd2 Rxe5 Qf4 Qd5+ Bf7 Qe4 Qxe4 Bxe4 Bf4 Rf5 Bd6 Rg5 Bf4 Rf5 Bd6 Rg5 Bf4 Rf5 Bd6,
948,Nf3 Nc6 g3 g6 Nc3 Nf6 Bg2 Bg7 d3 d6 e4 e5 Bg5 O-O Qd2 a6 O-O-O a5 Nd5 Be6 Nxf6+ Bxf6 Bxf6 Qxf6 h4 b5 Ng5 b4 h5 Kg7 hxg6 fxg6 Rxh7+ Kg8 Rdh1 a4 Qe1 Bc8 Qg1 Qxg5+ Kb1 Qf6 Qh2 Qxf2 Rh8+ Kf7 Qh7+ Ke8 Qxg6+ Qf7 Rxf8+ Kxf8 Qg5 Ke8 Rh8+ Kd7 Bh3+ Qe6 Qg7+ Ne7 Bxe6+ Kxe6 Qg4+ Kf7 Qh5+ Ke6 g4 Kd7 g5 Kc6 g6 Nxg6 Qxg6 b3 axb3 axb3 cxb3 Rb8 Qf7 Be6 Qh5 Rxb3 Rh6 Bd7 Qd1 Rb8 Qa4+ Rb5 Rh7 Bc8 Rxc7+ Kxc7 Qxb5 Bd7 Qb4 Kc6 Kc2 Be6 Kc3 Kd7 Qb7+ Ke8 Qc6+ Ke7 Qc7+ Bd7 Qxd6+ Kxd6 Kc4 Bc6 b4 Ba4,
949,Nf3 d5 g3 Nc6 Bg2 e6 O-O Nf6 d4 Be7 Nc3 b6 e3 Bb7 Bd2 O-O Re1 Nb8 Ne5 Nbd7 f4 c5 Nxd7 Nxd7 dxc5 bxc5 e4 dxe4 Bxe4 Bxe4 Nxe4 Qb6 Bc3 Rad8 Qg4 f6 Nf2 e5 fxe5 fxe5 Bxe5 Nxe5 Rxe5 Qxb2 Rae1 Bd6 Rg5 h6 Rg6 c4 Qxc4+ Kh7 Qe4 Kh8 Ng4 Bc5+ Kg2 Rd2+ Re2 Rxe2+ Qxe2 Qb7+ Kh3 h5 Ne5 Qc8+ Kg2 Qb7+ Kh3 Qc8+,
950,Nf3 d5 g3 c5 Bg2 Nc6 d3 Nf6 O-O e5 Nc3 d4 Ne4 Nxe4 dxe4 Be7 e3 O-O exd4 cxd4 Re1 Be6 Bd2 Qb6 b3 f6 Qe2 Nb4 Bxb4 Bxb4 Red1 Rac8 Rac1 Rc6 Nh4 Ba3 Rb1 Rfc8 Rd2 Bb4 Rdd1 Rxc2 Qf3 Rxa2 Nf5 Rcc2 Rf1 Bf8 Rfc1 Rxf2,
951,e4 c5 Nf3 d6 d4 cxd4 Nxd4 e5 Nb5 a6 N5c3 Nc6 Bc4 Nf6 O-O Be7 Nd2 Be6 Bxe6 fxe6 Nb3 O-O f4 exf4 Bxf4 e5 Bg5 h6 Bxf6 Bxf6 Nd5 Bg5 Rxf8+ Qxf8 Nb6 Rd8 Qf1 Be3+ Kh1 Bxb6,
952,Nf3 e6 g3 d5 Bg2 c5 O-O Nc6 c3 Qb6 d4 Nf6 dxc5 Bxc5 e3 O-O Nd4 Ne4 Nxc6 bxc6 Nd2 Nxd2 Qxd2 e5 e4 dxe4 Bxe4 Bg4 Qg5 Bh3 Qh4 Bxf1 Qxh7#,
953,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nb5 a6 N5c3 e6 Na3 Nc6 Nc4 b5 Ne3 Bb7 Bd3 Ne5 f3 Qb6 Ng4 Nfxg4 fxg4 h5 g5 Ng4 h3 Qf2#,
954,Nf3 e6 g3 d5 Bg2 Nc6 O-O Nf6 d3 Bc5 Nc3 d4 Na4 e5 Nxc5 Bg4 Ne4 Nxe4 dxe4 Qf6 Bg5 Qg6 Bd2 Qxe4 Re1 O-O e3 Nb4 Bxb4 dxe3 Rxe3 Qxb4 Qe1 Qxb2 Nxe5 Bf5 Rb1 Qxa2 Bxb7 Rab8 Nc6 Rxb7 Rxb7 Qxc2 Ne7+ Kh8 Nxf5 Qxf5 Rxc7 Qa5 Re8 Qxc7 Rxf8#,
955,Nf3 c5 g3 d5 Bg2 Nf6 d4 e6 c3 Be7 dxc5 Bxc5 e3 O-O O-O Nc6 Nd4 Nxd4 exd4 Be7 Be3 Bd7 Nd2 g6 Nb3 Bc6 Qc2 Ba4 Rfe1 Qb6,
956,Nf3 g6 g3 Bg7 Bg2 d6 d4 Nf6 Nc3 O-O e4,
957,Nf3 b6 g3,
958,Nf3 g6 g3 Bg7 Bg2 Nf6 O-O O-O d3 c5 Nc3 d6 e4 Nc6 Be3 Bg4 h3 Be6 d4 cxd4 Nxd4 Nxd4 Bxd4 Qd7 Be3 Bxh3 Bxh3 Qxh3 Qf3 Ng4 Qg2 Qxg2+ Kxg2 Nxe3+ fxe3 Rac8 Rac1 Bxc3 bxc3 Rxc3 Rf3 Rfc8 Rf2 Rxe3 Rcf1 Rxe4 Rxf7 Rxc2+ Kh3 Rxa2 g4 Re3+ Kh4 Rh2+ Kg5 Re5+ Kf4 Kxf7 Kg3+ Ke6 Kxh2 b5 Rb1 a5 Kh3 b4 Kh4,
959,g3 c6 Bg2 d5 d4 Nf6 Nc3 e6 Bg5 Be7 Bxf6 Bxf6 e4 dxe4 Nxe4 Bxd4 Ne2 Bxb2 Rb1 Qd5 Qxd5 cxd5 Nd6+ Kd7 Nxc8 Re8 Rxb2 Rxc8 O-O Nc6 Rxb7+ Rc7 Rxc7+ Kxc7 Rd1 Rb8 Nd4 Ne5 f4 Nc4 Nb5+,
960,Nf3 c6 g3 Nf6 Bg2 e5 O-O e4 d3 exf3 Bxf3 d5 e4 dxe4 dxe4 Qxd1 Rxd1 Bg4 Nc3 Bxf3 Rd3 Bc5 Rxf3 Bxf2+ Rxf2 O-O Rxf6 g6,
961,Nf3 d5 g3 Nc6 Bg2 e5 O-O Nf6 d3 Bf5 Nc3 Bc5 Nxd5 Nxd5 e4 Bg4 exd5 Qxd5 Be3 O-O-O h3 Bxf3 Bxf3 Qe6 Bxc5 Qxh3 Bg4+ Qxg4 Qxg4+ Rd7 Qxg7 Rhd8 Rfe1 f6 Qxf6 h6 Qxh6 Rf7 Qh3+ Rdd7 Re4 Rh7 Rh4 Rxh4 Qxh4 b6 Be3 Nd4 Bxd4 Rxd4 Qxd4 exd4,
962,e4 c5 Nf3 d6 d4 cxd4 Nxd4 a6 Nc3 e6 Bd3 Nf6 Bg5 Be7 O-O h6 Bh4 O-O Kh1 e5 Nb3 Ng4 Bxe7 Qxe7 Nd5 Qh4 h3 Nxf2+ Kg1 Nxd1,
963,d4 d5 c4 e6 e3 Nf6 Nf3 Bb4+ Bd2 Bxd2+ Nbxd2 Nc6 a3 O-O Bd3 a6 b4 Bd7 O-O Ne7 Qc2 b5 c5 c6 Ne5 h6 e4 dxe4 Nxe4 Nxe4 Bxe4 Nd5 Bxd5 exd5 a4 f6 Ng6 Re8 Nf4 Re4 g3 Rxd4 Qg6 Rxb4 Nh5 Qf8 axb5 cxb5 Rfe1 Be8 Qf5 Bxh5 Qxh5 Qf7 Qf3 Rc4 Rac1 Rc8 Qa3 Qa7 Ra1 Ra4,
964,e4 e5 Nf3 Nc6 Nc3 a6 d4 exd4 Ne2 Bc5 Be3 dxe3 fxe3 Bxe3 Qd3 Bb6 O-O-O Nf6 b4 d6 g3 Nxb4 a3 Nxd3+ Rxd3 O-O Rd1 Nxe4 Bh3 Bxh3 Nfg1 Nf2 Nxh3 Nxh1 Ng5,
965,e4 e5 Nf3 Qf6 Bc4 Be7 O-O d6 Re1 c6 c3 Qg6 d4 Bh3 g3 h5 dxe5 h4 exd6 Bxd6 e5 hxg3 fxg3 Bc5+ Be3 Bxe3+ Rxe3 Bg4 e6 fxe6 Qe2 Nd7 Bxe6 O-O-O Bxg4 Qxg4 Nbd2 Ngf6 Ne4 Rde8 Nd6+ Kc7 Nxe8+ Rxe8 Rxe8 Nxe8 Nd4 Qxe2 Nxe2 Ne5 Nf4 g5 Re1 Nf3+ Kf2 Nxe1 Ne6+ Kd6 Nxg5 Nd3+ Kf3 Nxb2 h4 Ke5 Nf7+ Kf6 Nd8 Nd6 g4 Ke7 Nxb7 Nxb7 Kf4 Nd3+ Kg5 Nd6 Kh6 Kf7 g5 Nf5+ Kh5 Nf2 g6+ Kg7 Kg5 Nxh4 Kxh4 Kxg6 Kg3,
